epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.875,0.87856,0.98038,1.01025,0.03912,0.17308,0.08955,0.06587,1.83014,4.88839,1.89227,0.090001,1e-06,1e-06
2,346.548,0.87641,1.0078,1.00685,0.35791,0.31607,0.29714,0.18492,1.8292,3.42893,1.54292,0.0790021,2.05842e-06,2.05842e-06
3,507.761,0.81628,0.96974,0.97544,0.37747,0.45705,0.41043,0.26693,1.55591,2.43844,1.40754,0.0680031,3.07328e-06,3.07328e-06
4,672.227,0.82275,0.97634,1.01083,0.45638,0.5611,0.53138,0.35343,1.54677,2.0468,1.48709,0.057004,4.04458e-06,4.04458e-06
5,835.629,0.84016,0.90695,0.98322,0.61802,0.49888,0.59894,0.39949,1.49212,1.98367,1.42504,0.046005,4.97232e-06,4.97232e-06
6,999.298,0.82981,0.90482,0.99001,0.6542,0.51875,0.61295,0.39444,1.40158,1.74055,1.41718,0.0350059,5.8565e-06,5.8565e-06
7,1163.18,0.81192,0.84582,0.97382,0.7247,0.51026,0.64694,0.43536,1.38481,1.60295,1.38788,0.0240067,6.69712e-06,6.69712e-06
8,1325.67,0.79551,0.81526,0.97981,0.78025,0.53383,0.67181,0.45768,1.33135,1.46304,1.3463,0.0130075,7.49418e-06,7.49418e-06
9,1487.7,0.79149,0.82595,0.9756,0.75252,0.57997,0.67869,0.47502,1.29957,1.41082,1.31418,0.00200825,8.24768e-06,8.24768e-06
10,1649.81,0.78682,0.7974,0.98037,0.77656,0.5733,0.68265,0.4905,1.25508,1.38242,1.26624,8.218e-06,8.218e-06,8.218e-06
11,1808.61,0.78712,0.80686,0.9644,0.75663,0.56003,0.68218,0.49226,1.21338,1.38784,1.23678,8.02e-06,8.02e-06,8.02e-06
12,1968.26,0.78126,0.80467,0.98148,0.78615,0.54879,0.68036,0.48995,1.19782,1.38411,1.21831,7.822e-06,7.822e-06,7.822e-06
13,2126.28,0.77108,0.76172,0.9483,0.67091,0.60705,0.68158,0.49126,1.2075,1.39078,1.21624,7.624e-06,7.624e-06,7.624e-06
14,2283.94,0.75108,0.79417,0.97408,0.65821,0.61667,0.67923,0.49185,1.21923,1.3968,1.20837,7.426e-06,7.426e-06,7.426e-06
15,2444.49,0.7329,0.77301,0.96261,0.65992,0.61986,0.68065,0.49319,1.2277,1.40195,1.21339,7.228e-06,7.228e-06,7.228e-06
16,2608.26,0.74633,0.76177,0.95063,0.65506,0.61667,0.68402,0.49639,1.23594,1.40363,1.21011,7.03e-06,7.03e-06,7.03e-06
17,2768.51,0.74099,0.75512,0.94322,0.69272,0.6095,0.67827,0.49597,1.23988,1.42514,1.20876,6.832e-06,6.832e-06,6.832e-06
18,2930.5,0.68341,0.7444,0.94506,0.64256,0.61667,0.67665,0.49647,1.24342,1.40942,1.20956,6.634e-06,6.634e-06,6.634e-06
19,3089.31,0.74483,0.74863,0.94973,0.64634,0.61556,0.67915,0.49933,1.25014,1.42569,1.22098,6.436e-06,6.436e-06,6.436e-06
20,3250.89,0.70515,0.73628,0.94972,0.64111,0.60268,0.67507,0.49762,1.25512,1.42654,1.22581,6.238e-06,6.238e-06,6.238e-06
21,3413.11,0.69966,0.7138,0.94295,0.64401,0.59744,0.67584,0.49697,1.25447,1.42209,1.22456,6.04e-06,6.04e-06,6.04e-06
22,3573.48,0.67193,0.67512,0.92372,0.73517,0.56175,0.68109,0.50329,1.24976,1.42531,1.22212,5.842e-06,5.842e-06,5.842e-06
23,3735.31,0.70326,0.71311,0.93239,0.59636,0.6407,0.67915,0.49451,1.25115,1.4226,1.22243,5.644e-06,5.644e-06,5.644e-06
24,3895.26,0.72047,0.73292,0.94909,0.70637,0.57653,0.67803,0.49738,1.25701,1.42912,1.22225,5.446e-06,5.446e-06,5.446e-06
25,4053.1,0.7582,0.7482,0.96977,0.67653,0.59144,0.67618,0.49421,1.25598,1.42862,1.21994,5.248e-06,5.248e-06,5.248e-06
26,4213.12,0.78802,0.76647,0.97703,0.59277,0.64242,0.67553,0.49186,1.25333,1.42641,1.2181,5.05e-06,5.05e-06,5.05e-06
27,4376.37,0.74143,0.78004,0.96126,0.59055,0.64214,0.67239,0.48618,1.25001,1.41663,1.21122,4.852e-06,4.852e-06,4.852e-06
